"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Todd Gurley","1","RB",1,2,1.25,0.43
2,"Le'Veon Bell","1","RB",1,2,1.75,0.43
3,"Ezekiel Elliott","1","RB",3,4,3.5,0.5
4,"David Johnson","1","RB",3,5,4,0.71
5,"Antonio Brown","1","WR",3,6,4.75,1.09
6,"Alvin Kamara","1","RB",6,8,6.75,0.83
7,"Saquon Barkley","2","RB",5,12,7.75,2.68
8,"DeAndre Hopkins","2","WR",7,12,8.25,2.17
9,"Leonard Fournette","2","RB",8,11,10,1.22
10,"Melvin Gordon","2","RB",9,14,11,1.87
11,"Julio Jones","2","WR",9,13,11,1.58
12,"Kareem Hunt","2","RB",8,16,11.5,2.96
13,"Odell Beckham Jr.","2","WR",9,14,11.75,1.92
14,"Dalvin Cook","2","RB",9,16,13.5,2.87
15,"Michael Thomas","2","WR",13,17,14.5,1.5
16,"Keenan Allen","3","WR",15,22,17.5,2.87
17,"A.J. Green","3","WR",15,20,18,1.87
18,"Devonta Freeman","3","RB",15,28,19.25,5.12
19,"Davante Adams","3","WR",18,22,19.25,1.64
20,"LeSean McCoy","3","RB",16,25,20.5,4.03
21,"Jerick McKinnon","4","RB",20,24,22.75,1.64
22,"Rob Gronkowski","4","TE",21,27,22.75,2.49
23,"Mike Evans","4","WR",19,28,23.25,3.27
24,"Christian McCaffrey","4","RB",20,30,24.5,4.15
25,"Jordan Howard","4","RB",19,33,25,5.1
26,"Doug Baldwin","4","WR",20,29,25.25,3.9
27,"Joe Mixon","4","RB",25,33,27.75,3.11
28,"Adam Thielen","4","WR",26,31,28,2.12
29,"T.Y. Hilton","5","WR",26,36,31.75,4.38
30,"Tyreek Hill","5","WR",30,34,32,1.41
31,"Travis Kelce","6","TE",25,59,36,13.51
32,"Stefon Diggs","6","WR",30,43,36.25,5.8
33,"Rashaad Penny","6","RB",21,52,36.5,11.24
34,"Amari Cooper","6","WR",27,46,36.75,6.76
35,"Kenyan Drake","6","RB",30,42,37.25,4.44
36,"Jay Ajayi","6","RB",28,44,37.75,5.93
37,"Allen Robinson","6","WR",35,45,39.5,3.84
38,"Alshon Jeffery","7","WR",37,44,40,2.55
39,"Alex Collins","7","RB",32,50,40.75,7.85
40,"Larry Fitzgerald","7","WR",31,47,41.5,6.54
41,"Aaron Rodgers","7","QB",35,51,42,6.75
42,"Josh Gordon","7","WR",33,49,42.25,5.8
43,"Derrick Henry","7","RB",37,48,43,4.3
44,"Derrius Guice","7","RB",23,58,44,12.86
45,"JuJu Smith-Schuster","7","WR",35,58,45.5,8.2
46,"Marvin Jones","8","WR",34,53,46.25,7.26
47,"Demaryius Thomas","8","WR",42,52,47.5,3.57
48,"Mark Ingram","8","RB",34,57,48,9.35
49,"Zach Ertz","8","TE",31,81,48.75,19.27
50,"Sony Michel","8","RB",35,59,50,9.03
51,"Russell Wilson","8","QB",42,57,50.75,5.63
52,"Marshawn Lynch","9","RB",37,61,52.5,9.6
53,"Ronald Jones II","9","RB",39,61,53.25,8.79
54,"Golden Tate","9","WR",43,60,53.5,6.58
55,"Dion Lewis","9","RB",43,67,54.75,10.4
56,"Tom Brady","9","QB",49,65,55.25,6.18
57,"Royce Freeman","9","RB",38,71,58.25,12.34
58,"Deshaun Watson","9","QB",40,80,58.5,14.29
59,"Chris Hogan","9","WR",50,76,58.75,10.13
60,"Brandin Cooks","9","WR",51,68,59.5,6.8
61,"Devin Funchess","10","WR",50,69,63,7.65
62,"Lamar Miller","10","RB",42,96,64.25,19.75
63,"Tevin Coleman","10","RB",57,76,64.5,7.02
64,"Cam Newton","10","QB",51,80,65.5,10.26
65,"Carson Wentz","11","QB",56,85,67.25,11.56
66,"Julian Edelman","11","WR",56,95,69.25,15.4
67,"Emmanuel Sanders","11","WR",54,80,71,10.25
68,"Corey Davis","11","WR",62,94,72.75,12.6
69,"Robert Woods","11","WR",53,94,74,14.54
70,"Sammy Watkins","11","WR",69,81,74.25,5.36
71,"Drew Brees","12","QB",66,94,76.5,10.52
72,"Marlon Mack","12","RB",70,94,77.5,9.63
73,"Jarvis Landry","12","WR",71,84,77.5,4.61
74,"Pierre Garcon","12","WR",66,90,78.5,8.5
75,"Will Fuller","12","WR",62,104,79,15.38
76,"Kirk Cousins","12","QB",68,93,79.5,10.36
77,"Michael Crabtree","12","WR",61,89,79.75,10.99
78,"Greg Olsen","12","TE",64,124,81.75,24.5
79,"Jimmy Graham","12","TE",63,122,83.25,23.35
80,"Matthew Stafford","13","QB",66,102,86.25,15.27
81,"Jamaal Williams","13","RB",64,114,87,17.92
82,"Robby Anderson","13","WR",79,99,88.75,7.29
83,"Isaiah Crowell","13","RB",85,101,90,6.4
84,"Randall Cobb","13","WR",67,122,90.25,20.1
85,"Delanie Walker","13","TE",74,118,90.25,16.62
86,"Evan Engram","13","TE",63,123,91.25,21.78
87,"Chris Thompson","13","RB",73,106,91.75,11.97
88,"Ben Roethlisberger","13","QB",73,102,92,11.85
89,"Rex Burkhead","13","RB",72,131,93.25,23.13
90,"Cooper Kupp","13","WR",88,104,93.25,6.38
91,"Andrew Luck","13","QB",61,120,94,24.87
92,"Devante Parker","14","WR",77,111,97.25,12.58
93,"Kyle Rudolph","14","TE",84,130,98.25,18.5
94,"Kerryon Johnson","14","RB",83,117,98.75,14.57
95,"Aaron Jones","14","RB",55,150,99,35.29
96,"C.J. Anderson","14","RB",75,132,100.75,20.45
97,"D'Onta Foreman","15","RB",68,136,103,24.43
98,"Philip Rivers","15","QB",71,121,103,19.13
99,"Tarik Cohen","15","RB",73,139,103.25,25.36
100,"Nelson Agholor","15","WR",87,119,103.75,14.38
101,"Kenny Stills","15","WR",74,160,105.5,32.58
102,"Jimmy Garoppolo","15","QB",83,133,105.75,18.1
103,"Nick Chubb","15","RB",84,121,105.75,14.91
104,"Jared Goff","15","QB",82,129,106.5,21.62
105,"Patrick Mahomes","15","QB",80,135,106.75,19.51
106,"Duke Johnson","15","RB",99,119,107.25,8.26
107,"Jamison Crowder","15","WR",76,142,108.75,23.36
108,"Kelvin Benjamin","16","WR",101,122,109.75,7.63
109,"Sterling Shepard","16","WR",103,115,109.75,4.44
110,"Marcus Mariota","16","QB",85,136,110,18.61
111,"Marquise Goodwin","16","WR",97,135,111,15.41
